factor_name,IC_mean,IC_std,IC_IR,IC_abs_mean,long_short_mean_ret,long_short_std_ret,long_short_sharpe,long_short_winrate,group1_mean_ret,group10_mean_ret,group_spread,avg_turnover
turnover_20,0.0975,0.1044,0.9333,0.1174,0.0266,0.0364,11.5672,0.8101,-0.0171,0.0094,0.0266,0.651
VOL,0.0886,0.1113,0.7958,0.1146,0.0185,0.0411,7.1518,0.6835,-0.0136,0.0049,0.0185,0.8203
Amihud,0.0653,0.0765,0.853,0.0812,0.0168,0.0309,8.626,0.7468,-0.0103,0.0065,0.0168,0.6381
cpv_20,0.0631,0.0596,1.0588,0.0725,0.0144,0.0222,10.3102,0.7468,-0.0071,0.0073,0.0144,0.8771
downside_vol,0.0612,0.1092,0.5603,0.0992,0.0109,0.0384,4.4902,0.6456,-0.0064,0.0045,0.0109,0.8279
mom_1m,0.0506,0.0915,0.5535,0.0817,0.0113,0.0369,4.8871,0.5949,-0.0108,0.0006,0.0113,0.8884
reversal_20,0.0491,0.0931,0.5277,0.0827,0.012,0.037,5.1582,0.6329,-0.0118,0.0002,0.012,0.8815
OVB_SLP,0.0299,0.0517,0.5787,0.0476,0.0051,0.0203,4.0195,0.6329,-0.0046,0.0005,0.0051,0.8183
e_p,0.027,0.0715,0.3769,0.063,0.0052,0.0291,2.8337,0.519,0.0011,0.0063,0.0052,0.2781
logSize,0.0188,0.1476,0.1271,0.12,0.0039,0.0557,1.1088,0.5316,0.0029,0.0068,0.0039,0.1951
UTD,0.0131,0.0511,0.2567,0.0406,0.005,0.0188,4.2029,0.6076,0.0001,0.0051,0.005,0.6602
trend_strength,0.0131,0.0591,0.2218,0.0449,0.0019,0.0207,1.4618,0.5696,0.0003,0.0022,0.0019,0.9003
roe,0.0131,0.084,0.1554,0.07,0.0042,0.0318,2.0976,0.5063,0.0,0.0042,0.0042,0.201
revenue_growth,0.0038,0.0579,0.0654,0.0465,0.0028,0.0223,1.9924,0.5696,-0.0017,0.0011,0.0028,0.2128
